Stage,Assignment,Wait Type,Time
Error Identification,1,work,28
Error Identification,1,wait,96
Error Identification,2,work,69
Error Identification,2,wait,64
Error Identification,3,work,17
Error Identification,3,wait,183
Error Identification,4,work,94
Error Identification,4,wait,234
Error Identification,5,work,220
Error Identification,5,wait,202
Error Identification,6,work,121
Error Identification,6,wait,456
Error Identification,7,work,35
Error Identification,7,wait,661
Error Identification,8,work,101
Error Identification,8,wait,933
Error Identification,9,work,58
Error Identification,9,wait,1101
Error Identification,10,work,88
Error Identification,10,wait,1439
Fixing Error,1,work,14
Fixing Error,1,wait,97
Fixing Error,2,work,35
Fixing Error,2,wait,136
Fixing Error,3,work,14
Fixing Error,3,wait,244
Fixing Error,4,work,48
Fixing Error,4,wait,221
Fixing Error,5,work,70
Fixing Error,5,wait,301
Voting on Alternatives,1,work,46
Voting on Alternatives,1,wait,91
Voting on Alternatives,2,work,37
Voting on Alternatives,2,wait,244
Voting on Alternatives,3,work,60
Voting on Alternatives,3,wait,253
Voting on Alternatives,4,work,41
Voting on Alternatives,4,wait,490
Voting on Alternatives,5,work,47
Voting on Alternatives,5,wait,484
Fixing Error,1,work,22
Fixing Error,1,wait,45
Fixing Error,2,work,25
Fixing Error,2,wait,262
Fixing Error,3,work,87
Fixing Error,3,wait,202
Fixing Error,4,work,53
Fixing Error,4,wait,345
Fixing Error,5,work,41
Fixing Error,5,wait,415
Voting on Alternatives,1,work,49
Voting on Alternatives,1,wait,70
Voting on Alternatives,2,work,72
Voting on Alternatives,2,wait,202
Voting on Alternatives,3,work,15
Voting on Alternatives,3,wait,464
Voting on Alternatives,4,work,71
Voting on Alternatives,4,wait,412
Voting on Alternatives,5,work,63
Voting on Alternatives,5,wait,493
Fixing Error,1,work,18
Fixing Error,1,wait,74
Fixing Error,2,work,61
Fixing Error,2,wait,178
Fixing Error,3,work,64
Fixing Error,3,wait,275
Fixing Error,4,work,74
Fixing Error,4,wait,334
Fixing Error,5,work,69
Fixing Error,5,wait,392
Voting on Alternatives,1,work,75
Voting on Alternatives,1,wait,70
Voting on Alternatives,2,work,101
Voting on Alternatives,2,wait,219
Voting on Alternatives,3,work,82
Voting on Alternatives,3,wait,273
Voting on Alternatives,4,work,26
Voting on Alternatives,4,wait,481
Voting on Alternatives,5,work,49
Voting on Alternatives,5,wait,3146
